0	2025-11-28 18:51:46.003257		PnP Event: Connect	DOWN	0x0	5c 00 3f 00 3f 00 5c 00 55 00 53 00 42 00 23 00 56 00 49 00 44 00 5f 00 30 00 36 00 37 00 42 00 26 00 50 00 49 00 44 00 5f 00 32 00 33 00 30 00 33 00 23 00 36 00 26 00 32 00 64 00 61 00 30 00 65 00 61 00 63 00 35 00 26 00 30 00 26 00 34 00 23 00 7b 00 30 00 31 00 30 00 30 00 66 00 64 00 64 00 37 00 2d 00 62 00 65 00 35 00 61 00 2d 00 34 00 38 00 30 00 38 00 2d 00 39 00 31 00 66 00 35 00 2d 00 30 00 35 00 30 00 30 00 32 00 62 00 63 00 36 00 30 00 66 00 37 00 32 00 7d 00 	\.?.?.\.U.S.B.#.V.I.D._.0.6.7.B.&.P.I.D._.2.3.0.3.#.6.&.2.d.a.0.e.a.c.5.&.0.&.4.#.{.0.1.0.0.f.d.d.7.-.b.e.5.a.-.4.8.0.8.-.9.1.f.5.-.0.5.0.0.2.b.c.6.0.f.7.2.}.
587	2025-11-28 18:51:50.209612	0.000014	IRP_MJ_READ	UP	0x0	d5 40 13 03 e9 80 16 6c 14 e6 2e 91 0d 40 21 35 d5 40 ff ff dc ba 	.@.....l.....@!5.@....
588	2025-11-28 18:51:50.219585	0.009973	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e 91 04 40 21 37 d5 40 53 64 b3 da ea e3 dc ba 	.....m.....@!7.@Sd......
591	2025-11-28 18:51:50.241521	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
592	2025-11-28 18:51:50.246419	0.004898	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
594	2025-11-28 18:51:50.246630	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
596	2025-11-28 18:51:50.246685	0.000012	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
598	2025-11-28 18:51:50.246708	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
601	2025-11-28 18:51:50.257613	0.000012	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
603	2025-11-28 18:51:50.257632	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
605	2025-11-28 18:51:50.257663	0.000009	IRP_MJ_READ	UP	0x0	ab cd 0c 02 ea 6d 1c e4 2e 91 04 40 21 37 d5 40 07 ce e9 80 16 6c 14 e6 d1 6e 0d 40 21 35 d5 40 11 03 e9 80 16 6d 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 14 e6 2e 91 0d 40 21 35 	.....m.....@!7.@.....l...n.@!5.@.....m.....@!5.@.....l.....@!5
606	2025-11-28 18:51:50.262566	0.004903	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
608	2025-11-28 18:51:50.262658	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
610	2025-11-28 18:51:50.262702	0.000010	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
612	2025-11-28 18:51:50.262725	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
615	2025-11-28 18:51:50.273288	0.000010	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
617	2025-11-28 18:51:50.273299	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
619	2025-11-28 18:51:50.273321	0.000006	IRP_MJ_READ	UP	0x0	d5 40 d7 38 e9 80 00 d3 16 e6 2e 91 0d 40 21 35 d5 40 07 ce e9 80 16 6c 14 e6 d1 6e 0d 40 21 35 d5 40 11 03 e9 80 16 6d 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 14 e6 2e 91 0d 40 	.@.8.........@!5.@.....l...n.@!5.@.....m.....@!5.@.....l.....@
620	2025-11-28 18:51:50.278683	0.005362	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
622	2025-11-28 18:51:50.278780	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
624	2025-11-28 18:51:50.278829	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
626	2025-11-28 18:51:50.278854	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
629	2025-11-28 18:51:50.289214	0.000010	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
631	2025-11-28 18:51:50.289232	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
633	2025-11-28 18:51:50.289263	0.000009	IRP_MJ_READ	UP	0x0	21 35 d5 40 d7 38 e9 80 00 d3 16 e6 2e 91 0d 40 21 35 d5 40 f7 cb eb 80 16 6c 14 e6 d1 6e 0d 40 21 35 d5 40 11 03 e9 80 16 6d 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 14 e6 2e 91 	!5.@.8.........@!5.@.....l...n.@!5.@.....m.....@!5.@.....l....
634	2025-11-28 18:51:50.295027	0.005764	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
636	2025-11-28 18:51:50.295113	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
638	2025-11-28 18:51:50.295151	0.000010	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
640	2025-11-28 18:51:50.295173	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
643	2025-11-28 18:51:50.305035	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
645	2025-11-28 18:51:50.305064	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
647	2025-11-28 18:51:50.305087	0.000006	IRP_MJ_READ	UP	0x0	0d 40 21 35 d5 40 33 bc eb 80 20 1b 0f e6 2e 91 0d 40 21 35 d5 40 f7 cb eb 80 16 6c 14 e6 d1 6e 0d 40 21 35 d5 40 11 03 e9 80 16 6d 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 14 e6 	.@!5.@3... ......@!5.@.....l...n.@!5.@.....m.....@!5.@.....l..
648	2025-11-28 18:51:50.310974	0.005888	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
650	2025-11-28 18:51:50.311039	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
652	2025-11-28 18:51:50.311089	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
654	2025-11-28 18:51:50.311111	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
657	2025-11-28 18:51:50.321343	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
659	2025-11-28 18:51:50.321360	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
661	2025-11-28 18:51:50.321401	0.000018	IRP_MJ_READ	UP	0x0	2e 91 0d 40 21 35 d5 40 33 bc eb 80 20 1b 0f e6 2e 91 0d 40 21 35 d5 40 97 d3 c4 80 16 6c 14 e6 d1 6e 0d 40 21 35 d5 40 11 03 e9 80 16 6c 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 	...@!5.@3... ......@!5.@.....l...n.@!5.@.....l.....@!5.@.....l
662	2025-11-28 18:51:50.327021	0.005620	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
664	2025-11-28 18:51:50.327113	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
666	2025-11-28 18:51:50.327167	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
668	2025-11-28 18:51:50.327193	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
671	2025-11-28 18:51:50.337688	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
673	2025-11-28 18:51:50.337706	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
675	2025-11-28 18:51:50.337740	0.000009	IRP_MJ_READ	UP	0x0	14 e6 2e 91 0d 40 21 35 d5 40 53 74 f2 80 16 b8 24 e6 2e 91 0d 40 21 35 d5 40 97 d3 c4 80 16 6c 14 e6 d1 6e 0d 40 21 35 d5 40 11 03 e9 80 16 6c 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 	.....@!5.@St....$....@!5.@.....l...n.@!5.@.....l.....@!5.@....
676	2025-11-28 18:51:50.343213	0.005472	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
678	2025-11-28 18:51:50.343350	0.000010	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
680	2025-11-28 18:51:50.343424	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
682	2025-11-28 18:51:50.343439	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
685	2025-11-28 18:51:50.353752	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
687	2025-11-28 18:51:50.353773	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
689	2025-11-28 18:51:50.353809	0.000010	IRP_MJ_READ	UP	0x0	16 6c 14 e6 2e 91 0d 40 21 35 d5 40 53 74 f2 80 16 b8 24 e6 2e 91 0d 40 21 35 d5 40 37 f5 ba 80 16 6c 14 e6 d1 6e 0d 40 21 35 d9 40 11 03 e9 80 16 6c 14 e2 2e 91 0d 40 21 35 d5 40 13 03 	.l.....@!5.@St....$....@!5.@7....l...n.@!5.@.....l.....@!5.@..
690	2025-11-28 18:51:50.359330	0.005522	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
692	2025-11-28 18:51:50.359669	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
694	2025-11-28 18:51:50.359735	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
696	2025-11-28 18:51:50.359765	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
699	2025-11-28 18:51:50.369662	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
701	2025-11-28 18:51:50.369673	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
703	2025-11-28 18:51:50.369698	0.000007	IRP_MJ_READ	UP	0x0	e9 80 16 6c 14 e6 2e 91 0d 40 21 35 d5 40 13 d7 d9 80 96 9b 67 e6 2e 91 0d 40 21 35 d5 40 37 f5 ba 80 16 6c 14 e6 d1 6e 0d 40 21 35 d9 40 11 03 e9 80 16 6c 14 e2 2e 91 0d 40 21 35 d5 40 	...l.....@!5.@......g....@!5.@7....l...n.@!5.@.....l.....@!5.@
704	2025-11-28 18:51:50.371333	0.001635	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
706	2025-11-28 18:51:50.371708	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
708	2025-11-28 18:51:50.371757	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
710	2025-11-28 18:51:50.371782	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
713	2025-11-28 18:51:50.385479	0.000010	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
715	2025-11-28 18:51:50.385500	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
717	2025-11-28 18:51:50.385536	0.000011	IRP_MJ_READ	UP	0x0	13 03 e9 80 16 6c 14 e6 2e 91 0d 40 21 35 d5 40 13 d7 d9 80 96 9b 67 e6 2e 91 0d 40 21 35 d5 40 ff ff dc ba 	.....l.....@!5.@......g....@!5.@....
718	2025-11-28 18:51:50.385742	0.000205	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e 93 04 40 21 37 d5 40 53 64 b3 da 59 43 dc ba 	.....m.....@!7.@Sd..YC..
721	2025-11-28 18:51:50.401426	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
722	2025-11-28 18:51:50.413416	0.011990	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
724	2025-11-28 18:51:50.413560	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
726	2025-11-28 18:51:50.413629	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
728	2025-11-28 18:51:50.413663	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
731	2025-11-28 18:51:50.417122	0.000004	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
733	2025-11-28 18:51:50.417141	0.000010	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
735	2025-11-28 18:51:50.417166	0.000008	IRP_MJ_READ	UP	0x0	ab cd 0c 02 ea 6d 1c e4 2e 93 04 40 21 37 d5 40 e3 81 5d 80 16 6c 14 e6 d1 6e 0d 40 21 34 dc 40 11 03 e9 80 16 6d 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 14 e6 2e 91 0d 40 21 35 	.....m.....@!7.@..]..l...n.@!4.@.....m.....@!5.@.....l.....@!5
736	2025-11-28 18:51:50.429489	0.012323	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
738	2025-11-28 18:51:50.429596	0.000022	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
740	2025-11-28 18:51:50.429639	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
742	2025-11-28 18:51:50.429662	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
745	2025-11-28 18:51:50.433087	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
747	2025-11-28 18:51:50.433103	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
749	2025-11-28 18:51:50.433128	0.000007	IRP_MJ_READ	UP	0x0	d5 40 93 c8 4d 80 e0 e8 db e6 2e 91 0d 40 21 35 d5 40 33 48 55 80 16 6c 14 e6 d1 6e 0d 40 21 34 dc 40 11 03 e9 80 16 6d 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 14 e6 2e 91 0d 40 	.@..M........@!5.@3HU..l...n.@!4.@.....m.....@!5.@.....l.....@
750	2025-11-28 18:51:50.445657	0.012528	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
752	2025-11-28 18:51:50.445809	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
754	2025-11-28 18:51:50.445875	0.000014	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
756	2025-11-28 18:51:50.445907	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
759	2025-11-28 18:51:50.449418	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
761	2025-11-28 18:51:50.449441	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
763	2025-11-28 18:51:50.449487	0.000013	IRP_MJ_READ	UP	0x0	21 35 d5 40 93 c8 4d 80 e0 e8 db e6 2e 91 0d 40 21 35 d5 40 e3 00 37 80 56 2e 1b e6 d1 6e 0d 40 21 35 d9 40 11 03 e9 80 16 6c 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 14 e6 2e 91 	!5.@..M........@!5.@..7.V....n.@!5.@.....l.....@!5.@.....l....
764	2025-11-28 18:51:50.461814	0.012327	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
766	2025-11-28 18:51:50.462154	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
768	2025-11-28 18:51:50.462214	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
770	2025-11-28 18:51:50.462243	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
773	2025-11-28 18:51:50.465261	0.000003	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
775	2025-11-28 18:51:50.465271	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
777	2025-11-28 18:51:50.465293	0.000006	IRP_MJ_READ	UP	0x0	0d 40 21 35 d5 40 13 86 26 80 a0 ec 1d e7 2e 91 0d 40 21 35 d5 40 77 49 34 80 56 2e 1b e6 d1 6e 0d 40 21 35 d9 40 11 03 e9 80 16 6c 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 14 e6 	.@!5.@..&........@!5.@wI4.V....n.@!5.@.....l.....@!5.@.....l..
778	2025-11-28 18:51:50.478157	0.012864	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
780	2025-11-28 18:51:50.478352	0.000012	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
782	2025-11-28 18:51:50.478432	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
784	2025-11-28 18:51:50.478465	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
787	2025-11-28 18:51:50.481103	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
789	2025-11-28 18:51:50.481126	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
791	2025-11-28 18:51:50.481168	0.000011	IRP_MJ_READ	UP	0x0	2e 91 0d 40 21 35 d5 40 13 86 26 80 a0 ec 1d e7 2e 91 0d 40 21 35 d5 40 f7 e3 9c 81 16 6c 14 e6 d1 6e 0d 40 21 35 d9 40 11 03 e9 80 16 6c 14 e2 2e 91 0d 40 21 35 d5 40 13 03 e9 80 16 6c 	...@!5.@..&........@!5.@.....l...n.@!5.@.....l.....@!5.@.....l
792	2025-11-28 18:51:50.494273	0.013105	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
